,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,3,大安區,2023-06-03 17:13:15,復興南路二段235號前,25,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-06-03 16:58:04,復興南路二段273號西側,21,1
2,YouBike2.0_國北教大實小東側門,16,3,大安區,2023-06-03 17:11:14,和平東路二段96巷7號,13,1
3,YouBike2.0_和平公園東側,11,3,大安區,2023-06-03 17:13:15,和平東路二段118巷33號,8,1
4,YouBike2.0_辛亥復興路口西北側,16,1,大安區,2023-06-03 17:08:04,復興南路二段368號,15,1
5,YouBike2.0_復興南路二段280號前,11,4,大安區,2023-06-03 16:54:14,復興南路二段280號,7,1
6,YouBike2.0_復興南路二段340巷口,11,2,大安區,2023-06-03 17:12:14,復興南路二段342號,9,1
7,YouBike2.0_新生南路三段52號前,17,3,大安區,2023-06-03 17:09:14,新生南路三段52號,14,1
8,YouBike2.0_新生南路三段66號前,16,5,大安區,2023-06-03 17:13:15,新生南路三段66號東側,11,1
9,YouBike2.0_新生南路三段82號前,20,4,大安區,2023-06-03 17:09:14,新生南路三段82號,16,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-06-03 17:13:15,辛亥路一段30號,6,1
11,YouBike2.0_和平復興路口西北側,9,5,大安區,2023-06-03 17:10:20,復興南路二段236號,4,1
12,YouBike2.0_羅斯福路三段311號前,11,3,大安區,2023-06-03 17:06:15,羅斯福路三段311號,7,1
13,YouBike2.0_大安運動中心停車場,14,1,大安區,2023-06-03 17:11:03,敦南街76巷28號,12,1
14,YouBike2.0_羅斯福路三段245號前,8,2,大安區,2023-06-03 17:01:06,羅斯福路三段245號,6,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-06-03 17:10:09,羅斯福路三段283巷11號,4,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-06-03 17:13:15,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,2,大安區,2023-06-03 17:10:20,羅斯福路四段21號旁天橋下,5,1
20,YouBike2.0_第二學生活動中心,27,3,大安區,2023-06-03 17:13:15,羅斯福路四段107號(西南側),24,1
21,YouBike2.0_臺灣科技大學正門,30,2,大安區,2023-06-03 17:12:15,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),28,1
22,YouBike2.0_臺灣科技大學側門,99,0,大安區,2023-06-03 17:13:15,基隆路四段73巷與基隆路口,99,1
23,YouBike2.0_公館公園,15,0,大安區,2023-06-03 16:58:04,羅斯福路四段113巷基隆路四段41巷口,15,1
24,YouBike2.0_臺灣科技大學後門,39,1,大安區,2023-06-03 17:06:15,基隆路四段41巷68弄臺科帆船大樓旁,38,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,1,大安區,2023-06-03 17:11:03,基隆路三段155巷57號西側,19,1
26,YouBike2.0_臺大環研大樓,15,4,大安區,2023-06-03 16:24:14,芳蘭路/基隆路三段155巷口,11,1
28,YouBike2.0_臺大男七舍前,20,0,大安區,2023-06-03 16:39:04,長興街/長興街80巷口西側,20,1
29,YouBike2.0_臺大男一舍前,61,1,大安區,2023-06-03 17:12:15,長興街50號西北側,60,1
30,YouBike2.0_臺大男六舍前,46,0,大安區,2023-06-03 17:04:04,大安區長興街31號,46,1
31,YouBike2.0_臺大動物醫院前,18,0,大安區,2023-06-03 17:04:04,基隆路三段155巷/基隆路四段口,18,1
32,YouBike2.0_臺大土木研究大樓前,24,3,大安區,2023-06-03 17:06:15,辛亥路三段188號,21,1
35,YouBike2.0_臺大社科院圖書館前,27,5,大安區,2023-06-03 17:07:15,辛亥路與復興南路口西南側,22,1
36,YouBike2.0_臺大法人語言訓練中心前,28,5,大安區,2023-06-03 17:10:20,臺大法人語言訓練中心北側,23,1
38,YouBike2.0_辛亥新生路口東南側,41,2,大安區,2023-06-03 17:09:14,辛亥新生路口東南側,39,1
39,YouBike2.0_基隆長興路口東側,15,0,大安區,2023-06-03 17:10:09,基隆長興路口東側,15,1
41,YouBike2.0_和平實小東北側,13,0,大安區,2023-06-03 14:30:29,敦南街73號,13,1
42,YouBike2.0_大安區健康服務中心,15,5,大安區,2023-06-03 16:58:14,辛亥路三段15號,10,1
43,YouBike2.0_辛亥泰順街口,20,2,大安區,2023-06-03 17:05:15,辛亥泰順街口東南側,18,1
44,YouBike2.0_芳和國中,28,5,大安區,2023-06-03 16:56:15,臥龍街170號(前),23,1
45,YouBike2.0_臥龍樂業街口,36,0,大安區,2023-06-03 17:07:04,臥龍街234-2號,36,1
48,YouBike2.0_捷運麟光站(2號出口),35,4,大安區,2023-06-03 17:10:20,和平東路三段420號東北側,30,1
50,YouBike2.0_喬治工商,26,5,大安區,2023-06-03 17:11:14,基隆路二段166號,20,1
51,YouBike2.0_法治公園,15,4,大安區,2023-06-03 17:11:14,通化街189號西側,11,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,4,大安區,2023-06-03 17:12:15,辛亥路一段/羅斯福路三段口北側(辛亥路側),11,1
53,YouBike2.0_和平金山路口,45,1,大安區,2023-06-03 17:13:15,和平東路一段/金山南路二段西南側,44,1
54,YouBike2.0_和平龍泉街口,34,1,大安區,2023-06-03 17:12:15,和平東路一段/龍泉街口西南側,32,1
55,YouBike2.0_和平泰順街口,9,1,大安區,2023-06-03 17:11:03,和平東路一段/泰順街口東南側,8,1
56,YouBike2.0_臺灣師範大學(圖書館),40,0,大安區,2023-06-03 17:13:04,和平東路一段129號前,39,1
57,YouBike2.0_捷運古亭站(6號出口),60,3,大安區,2023-06-03 17:11:14,羅斯福路二段41號前,57,1
58,YouBike2.0_捷運古亭站(5號出口),14,1,大安區,2023-06-03 17:08:14,和平東路一段19號前,13,1
59,YouBike2.0_臺北市立圖書館(總館),45,2,大安區,2023-06-03 17:13:15,建國南路二段/建國南路二段151巷(橋下空間),42,1
63,YouBike2.0_捷運東門站(3號出口),15,0,大安區,2023-06-03 17:11:03,信義路二段128號前,15,1
64,YouBike2.0_金甌女中,12,0,大安區,2023-06-03 17:10:09,信義路二段與杭州南路二段東南側,12,1
65,YouBike2.0_金杭公園,20,3,大安區,2023-06-03 17:02:15,愛國東路21巷與杭州南路二段25巷口東南側,17,1
66,YouBike2.0_愛國金山路口,33,2,大安區,2023-06-03 17:10:20,愛國東路與杭州南路二段口西南側,30,1
67,YouBike2.0_敦化南路二段293巷口南側,14,1,大安區,2023-06-03 16:47:04,敦化南路二段293巷口南側,13,1
68,YouBike2.0_敦化基隆路口,29,1,大安區,2023-06-03 17:08:14,敦化南路二段218號,28,1
69,YouBike2.0_安和路二段181巷口,17,4,大安區,2023-06-03 17:11:14,安和路二段185號,13,1
72,YouBike2.0_台北科技大學億光大樓,46,0,大安區,2023-06-03 17:13:04,忠孝東路三段81號,46,1
73,YouBike2.0_新生南路一段119巷口,33,1,大安區,2023-06-03 17:13:15,新生南路一段113號,31,1
74,YouBike2.0_幸安國小(仁愛路),16,0,大安區,2023-06-03 17:13:15,仁愛路三段22號,15,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
78,YouBike2.0_捷運忠孝復興站(2號出口),43,3,大安區,2023-06-03 17:13:15,復興南路一段/仁愛路三段123巷13弄(西北側),40,1
79,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-06-03 17:03:04,信義路4段6號(前),12,1
80,YouBike2.0_捷運大安站(2號出口),22,0,大安區,2023-06-03 16:52:03,信義路3段143號(前),22,1
81,YouBike2.0_信義大安路口(信維大樓),12,0,大安區,2023-06-03 16:58:04,信義路四段74號(前),12,1
83,YouBike2.0_仁愛安和路口,25,3,大安區,2023-06-03 17:09:14,仁愛路四段258號前,22,1
85,YouBike2.0_仁愛國中,25,1,大安區,2023-06-03 17:05:15,安和路一段75號(對面),24,1
86,YouBike2.0_捷運信義安和站(2號出口),26,3,大安區,2023-06-03 17:10:20,信義路四段188號前,23,1
88,YouBike2.0_昌隆公園,16,5,大安區,2023-06-03 17:07:15,市民大道三段206號西側,11,1
90,YouBike2.0_信義延吉街口,15,1,大安區,2023-06-03 17:13:15,信義路四段353號,14,1
93,YouBike2.0_建國南路一段279巷口,32,3,大安區,2023-06-03 17:13:15,建國南路一段275號,28,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,2,大安區,2023-06-03 17:11:14,新生南路一段101號,13,1
95,YouBike2.0_捷運忠孝新生站(4號出口),34,1,大安區,2023-06-03 17:13:15,忠孝新生路口北側,33,1
96,YouBike2.0_大安高工,23,0,大安區,2023-06-03 17:12:04,復興南路二段52號(前),23,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,0,大安區,2023-06-03 17:04:04,忠孝東路三段與10巷口,23,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,0,大安區,2023-06-03 17:13:15,捷運大安森林公園站(5號出口)東側,15,1
102,YouBike2.0_東豐公園,19,0,大安區,2023-06-03 17:13:04,東豐街24號(旁公園路側),19,1
103,YouBike2.0_德安公園(四維路66巷),14,1,大安區,2023-06-03 17:06:15,四維路66巷6號北側,13,1
105,YouBike2.0_捷運忠孝敦化站(2號出口),17,5,大安區,2023-06-03 17:11:14,忠孝東路四段221號,12,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,2,大安區,2023-06-03 17:13:15,忠孝東路四段143號,16,1
107,YouBike2.0_瑞安街208巷,15,2,大安區,2023-06-03 17:11:14,瑞安街208巷39號對面,13,1
108,YouBike2.0_樂利路21巷口,17,2,大安區,2023-06-03 17:12:15,樂利路25號,15,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,0,大安區,2023-06-03 17:07:04,和平東路二段134號前,46,1
111,YouBike2.0_仁愛醫院,30,1,大安區,2023-06-03 17:03:14,仁愛路四段/大安路一段口(西南側),29,1
112,YouBike2.0_捷運信義安和站(4號出口),30,3,大安區,2023-06-03 17:13:15,信義路四段252號前,27,1
115,YouBike2.0_捷運信義安和站(1號出口),33,5,大安區,2023-06-03 17:12:15,信義路四段225號前,28,1
116,YouBike2.0_敦化南路二段103巷口,24,3,大安區,2023-06-03 17:04:15,敦化南路二段99號前,20,1
118,YouBike2.0_和平東建國南路口,17,0,大安區,2023-06-03 17:06:04,和平東路/建國南路口(北側),17,1
